Transaction_date,Brand Name,Sales Value
2018-01-18,Mirinda,10094.65
2018-01-18,Fanta,3102.05
2018-01-18,Sprite,8
2018-01-18,Mountain Dew,1030
2018-01-19,Coca Cola,8379.2
2018-01-19,Thums Up,1709.85
2018-01-19,Mirinda,8347.8
2018-01-19,Fanta,2342.85
2018-01-19,Sprite,30
2018-01-19,Mountain Dew,1175.25
2018-01-20,Coca Cola,6578.5
2018-01-20,Thums Up,2237.8
2018-01-20,Mirinda,6182.6
2018-01-20,Fanta,1999.15
2018-01-20,Mountain Dew,1028.6
2018-01-21,Coca Cola,2376.45
2018-01-21,Thums Up,677.7
2018-01-21,Mirinda,1349.65
2018-01-21,Fanta,563.85
2018-01-21,Mountain Dew,330.5
2018-01-22,Coca Cola,7874.25
2018-01-22,Thums Up,3127
2018-01-22,Mirinda,7365.29
2018-01-22,Fanta,2913.75
2018-01-22,Sprite,122
2018-01-22,Mountain Dew,1442.35
2018-01-23,Coca Cola,9682.35
2018-01-23,Thums Up,3344.35
2018-01-23,Mirinda,14095.85
2018-01-23,Fanta,5107.8
2018-01-23,Sprite,61
2018-01-23,Mountain Dew,2402.725
2018-01-24,Coca Cola,6816.25
2018-01-24,Thums Up,5901.6
2018-01-24,Mirinda,4750.45
2018-01-24,Fanta,4774.75
2018-01-24,Sprite,140
2018-01-24,Mountain Dew,3227.85
2018-01-25,Coca Cola,8469.35
2018-01-25,Thums Up,1775.05
2018-01-25,Mirinda,10310.55
2018-01-25,Fanta,2714
2018-01-25,Sprite,53
2018-01-25,Mountain Dew,1153.5
2018-01-26,Coca Cola,6612.1
2018-01-26,Thums Up,1029.6
2018-01-26,Mirinda,7126.9
2018-01-26,Fanta,2562.8
2018-01-26,Sprite,86
2018-01-26,Mountain Dew,907.3
2018-01-27,Coca Cola,6221.5
2018-01-27,Thums Up,1304
2018-01-27,Mirinda,5904.65
2018-01-27,Fanta,1110.25
2018-01-27,Sprite,20
2018-01-27,Mountain Dew,1135.45
2018-01-28,Coca Cola,10790.35
2018-01-28,Thums Up,2378.95
2018-01-28,Mirinda,5910.25
2018-01-28,Fanta,2833.6
2018-01-28,Sprite,30
2018-01-28,Mountain Dew,2179.4
2018-01-29,Coca Cola,9927.7
2018-01-29,Thums Up,1729.7
2018-01-29,Mirinda,6773.65
2018-01-29,Fanta,1501.65
2018-01-29,Sprite,31.5
2018-01-29,Mountain Dew,1862.95
2018-01-30,Coca Cola,10849.87
2018-01-30,Thums Up,2752.3
2018-01-30,Mirinda,9573.55
2018-01-30,Fanta,2754
2018-01-30,Sprite,109.15
2018-01-30,Mountain Dew,1316.85
2018-01-31,Coca Cola,13806.75
2018-01-31,Thums Up,6826.5
2018-01-31,Mirinda,9808
2018-01-31,Fanta,4078.5
2018-01-31,Sprite,105
2018-01-31,Mountain Dew,1627.9
2018-02-01,Coca Cola,9414.8
2018-02-01,Thums Up,2967.35
2018-02-01,Mirinda,5327.45
2018-02-01,Fanta,2400.8
2018-02-01,Sprite,83
2018-02-01,Mountain Dew,822.15
2018-02-02,Coca Cola,14469.25
2018-02-02,Thums Up,5025.2
2018-02-02,Mirinda,4283.3
2018-02-02,Fanta,4620.65
2018-02-02,Sprite,101
2018-02-02,Mountain Dew,2668.65
2018-02-03,Coca Cola,9540.1
2018-02-03,Thums Up,2493.35
2018-02-03,Mirinda,3075.52
2018-02-03,Fanta,5254.45
2018-02-03,Sprite,36
2018-02-03,Mountain Dew,1424.75
2018-02-04,Coca Cola,1611.15
2018-02-04,Thums Up,260.25
2018-02-04,Mirinda,1291.75
2018-02-04,Fanta,2343
2018-02-04,Sprite,24
2018-02-04,Mountain Dew,166.65
2018-02-05,Coca Cola,11034.55
2018-02-05,Thums Up,2705.35
2018-02-05,Mirinda,2525.15
2018-02-05,Fanta,7616.25
2018-02-05,Sprite,12
2018-02-05,Mountain Dew,400.65
2018-02-06,Coca Cola,8471.5
2018-02-06,Thums Up,1168.45
2018-02-06,Mirinda,5665.95
2018-02-06,Fanta,2331.095
2018-02-06,Sprite,6
2018-02-06,Mountain Dew,702.45
2018-02-07,Coca Cola,10399.65
2018-02-07,Thums Up,1171.851
2018-02-07,Mirinda,6826.35
2018-02-07,Fanta,1489
2018-02-07,Sprite,16.5
2018-02-07,Mountain Dew,868.5
2018-02-08,Coca Cola,9131.1
2018-02-08,Thums Up,804.55
2018-02-08,Mirinda,4923.75
2018-02-08,Fanta,1439.45
2018-02-08,Sprite,6.15
2018-02-08,Mountain Dew,829.2
2018-02-09,Coca Cola,5869.25
2018-02-09,Thums Up,525.85
2018-02-09,Mirinda,6653.7
2018-02-09,Fanta,1622.95
2018-02-09,Sprite,36
2018-02-09,Mountain Dew,588.95
2018-02-10,Coca Cola,4889.053
2018-02-10,Thums Up,665.4
2018-02-10,Mirinda,3526.3
2018-02-10,Fanta,1015.5
2018-02-10,Sprite,5
2018-02-10,Mountain Dew,810.15
2018-02-11,Coca Cola,5310.5
2018-02-11,Thums Up,474.2
2018-02-11,Mirinda,5099.51
2018-02-11,Fanta,1354.5
2018-02-11,Mountain Dew,1147.25
2018-02-12,Coca Cola,4808.95
2018-02-12,Thums Up,815.6
2018-02-12,Mirinda,3473.9
2018-02-12,Fanta,1423.55
2018-02-12,Mountain Dew,822.75
2018-02-13,Coca Cola,6982.5
2018-02-13,Thums Up,1010.8
2018-02-13,Mirinda,5562.55
2018-02-13,Fanta,1415.85
2018-02-13,Sprite,25
2018-02-13,Mountain Dew,1126.85
2018-02-14,Coca Cola,5880
2018-02-14,Thums Up,1184.25
2018-02-14,Mirinda,5588.65
2018-02-14,Fanta,1693.5
2018-02-14,Sprite,46.5
2018-02-14,Mountain Dew,1102.05
2018-02-15,Coca Cola,7299.55
2018-02-15,Thums Up,639.4
2018-02-15,Mirinda,5934.1
2018-02-15,Fanta,2660.5
2018-02-15,Sprite,10.75
2018-02-15,Mountain Dew,1208.7
2018-02-16,Coca Cola,5756.85
2018-02-16,Thums Up,1201.1
2018-02-16,Mirinda,4299.95
2018-02-16,Fanta,1139.9
2018-02-16,Sprite,32
2018-02-16,Mountain Dew,1055.7
2018-02-17,Coca Cola,2968.1
2018-02-17,Thums Up,461.75
2018-02-17,Mirinda,1785.6
2018-02-17,Fanta,1165.05
2018-02-17,Mountain Dew,1165.25
2018-02-18,Coca Cola,3519.7
2018-02-18,Thums Up,800.25
2018-02-18,Mirinda,2143.4
2018-02-18,Fanta,1551.4
2018-02-18,Mountain Dew,499.2
2018-02-19,Coca Cola,5273
2018-02-19,Thums Up,786.35
2018-02-19,Mirinda,4058.6
2018-02-19,Fanta,1575.455
2018-02-19,Sprite,2
2018-02-19,Mountain Dew,940
2018-02-20,Coca Cola,4977.8
2018-02-20,Thums Up,339.8
2018-02-20,Mirinda,3910.2
2018-02-20,Fanta,1122.5
2018-02-20,Sprite,12
2018-02-20,Mountain Dew,504.4
2018-02-21,Coca Cola,9109.75
2018-02-21,Thums Up,778.75
2018-02-21,Mirinda,4582.75
2018-02-21,Fanta,2847.25
2018-02-21,Sprite,1
2018-02-21,Mountain Dew,1979.75
2018-02-22,Coca Cola,4228.35
2018-02-22,Thums Up,598.05
2018-02-22,Mirinda,3022.75
2018-02-22,Fanta,1550.1
2018-02-22,Mountain Dew,1358
2018-02-23,Coca Cola,7814.3
2018-02-23,Thums Up,2464.05
2018-02-23,Mirinda,2964.49
2018-02-23,Fanta,2590.85
2018-02-23,Sprite,26
2018-02-23,Mountain Dew,1222.5
2018-02-24,Coca Cola,8920.75
2018-02-24,Thums Up,1240.1
2018-02-24,Mirinda,5118.7
2018-02-24,Fanta,1506.5
2018-02-24,Mountain Dew,663.7
2018-02-25,Coca Cola,1595.75
2018-02-25,Thums Up,489.1
2018-02-25,Mirinda,4139.7
2018-02-25,Fanta,267.5
2018-02-25,Mountain Dew,487.15
2018-02-26,Coca Cola,7940.4
2018-02-26,Thums Up,2851.3
2018-02-26,Mirinda,5996.5
2018-02-26,Fanta,1700.5
2018-02-26,Mountain Dew,2650
2018-02-27,Coca Cola,13069.05
2018-02-27,Thums Up,1194
2018-02-27,Mirinda,3890.9
2018-02-27,Fanta,3144.2
2018-02-27,Sprite,15.65
2018-02-27,Mountain Dew,959.75
2018-02-28,Coca Cola,9167.7
2018-02-28,Thums Up,1482.15
2018-02-28,Mirinda,6024.55
2018-02-28,Fanta,2354
2018-02-28,Sprite,31.1
2018-02-28,Mountain Dew,747.75
2018-03-01,Coca Cola,7122.75
2018-03-01,Thums Up,1255.55
2018-03-01,Mirinda,5323.4
2018-03-01,Fanta,1160.345
2018-03-01,Sprite,94
2018-03-01,Mountain Dew,1150
2018-03-02,Coca Cola,3999.3
2018-03-02,Thums Up,1078.2
2018-03-02,Mirinda,4225.4
2018-03-02,Fanta,722.2
2018-03-02,Sprite,90
2018-03-02,Mountain Dew,953.75
2018-03-03,Coca Cola,7262.35
2018-03-03,Thums Up,1212.05
2018-03-03,Mirinda,2759.1
2018-03-03,Fanta,3013.05
2018-03-03,Sprite,27
2018-03-03,Mountain Dew,426.55
2018-03-04,Coca Cola,2674.7
2018-03-04,Thums Up,619
2018-03-04,Mirinda,1067.75
2018-03-04,Fanta,940.5
2018-03-04,Sprite,50
2018-03-04,Mountain Dew,514.75
2018-03-05,Coca Cola,3146.1
2018-03-05,Thums Up,1024.55
2018-03-05,Mirinda,1915.55
2018-03-05,Fanta,940.55
2018-03-05,Sprite,9
2018-03-05,Mountain Dew,880
2018-03-06,Coca Cola,2712.95
2018-03-06,Thums Up,647.81
2018-03-06,Mirinda,3014
2018-03-06,Fanta,897.705
2018-03-06,Sprite,15
2018-03-06,Mountain Dew,393.75
2018-03-07,Coca Cola,4249.9
2018-03-07,Thums Up,919.45
2018-03-07,Mirinda,2594.1
2018-03-07,Fanta,1773.25
2018-03-07,Mountain Dew,624.3
2018-03-08,Coca Cola,5448
2018-03-08,Thums Up,1309.85
2018-03-08,Mirinda,3632.19
2018-03-08,Fanta,1918
2018-03-08,Sprite,17
2018-03-08,Mountain Dew,876.25
2018-03-09,Coca Cola,6010.57
2018-03-09,Thums Up,2473.65
2018-03-09,Mirinda,3011.75
2018-03-09,Fanta,1131.25
2018-03-09,Sprite,17
2018-03-09,Mountain Dew,901.3
2018-03-10,Coca Cola,3480.35
2018-03-10,Thums Up,568.65
2018-03-10,Mirinda,2853.6
2018-03-10,Fanta,1825.6
2018-03-10,Sprite,38
2018-03-10,Mountain Dew,431
2018-03-11,Coca Cola,3243.15
2018-03-11,Thums Up,1221.15
2018-03-11,Mirinda,1629.85
2018-03-11,Fanta,1004.75
2018-03-11,Sprite,10
2018-03-11,Mountain Dew,141
2018-03-12,Coca Cola,7297.4
2018-03-12,Thums Up,3188.45
2018-03-12,Mirinda,3619.3
2018-03-12,Fanta,1306.75
2018-03-12,Sprite,17.75
2018-03-12,Mountain Dew,787.85
2018-03-13,Coca Cola,4352
2018-03-13,Thums Up,1773.7
2018-03-13,Mirinda,2568.15
2018-03-13,Fanta,2702
2018-03-13,Sprite,2
2018-03-13,Mountain Dew,467.75
2018-03-14,Coca Cola,5365.3
2018-03-14,Thums Up,3216.3
2018-03-14,Mirinda,4077.6
2018-03-14,Fanta,1434.5
2018-03-14,Sprite,3
2018-03-14,Mountain Dew,529.25
2018-03-15,Coca Cola,6492.25
2018-03-15,Thums Up,2329.45
2018-03-15,Mirinda,5471.1
2018-03-15,Fanta,2400.5
2018-03-15,Sprite,0.55
2018-03-15,Mountain Dew,931.25
2018-03-16,Coca Cola,7418.1
2018-03-16,Thums Up,3097.3
2018-03-16,Mirinda,6318.5
2018-03-16,Fanta,1491.9
2018-03-16,Mountain Dew,897.25
2018-03-17,Coca Cola,6664
2018-03-17,Thums Up,2160.45
2018-03-17,Mirinda,3697.05
2018-03-17,Fanta,2861.85
2018-03-17,Sprite,19.5
2018-03-17,Mountain Dew,1596.25
2018-03-18,Coca Cola,4034.25
2018-03-18,Thums Up,1437
2018-03-18,Mirinda,2041.5
2018-03-18,Fanta,1280.25
2018-03-18,Mountain Dew,218
2018-03-19,Coca Cola,5466.65
2018-03-19,Thums Up,1801.9
2018-03-19,Mirinda,3008.4
2018-03-19,Fanta,1740.5
2018-03-19,Sprite,16
2018-03-19,Mountain Dew,764.25
2018-03-20,Coca Cola,7291.65
2018-03-20,Thums Up,2838.05
2018-03-20,Mirinda,4308.1
2018-03-20,Fanta,1456.1
2018-03-20,Mountain Dew,807.7
2018-03-21,Coca Cola,5173
2018-03-21,Thums Up,1751.1
2018-03-21,Mirinda,7418.35
2018-03-21,Fanta,2407.95
2018-03-21,Sprite,0.85
2018-03-21,Mountain Dew,1524
2018-03-22,Coca Cola,4760.45
2018-03-22,Thums Up,2260.5
2018-03-22,Mirinda,3737.15
2018-03-22,Fanta,1422.495
2018-03-22,Mountain Dew,377.5
2018-03-23,Coca Cola,4341.7
2018-03-23,Thums Up,2161.751
2018-03-23,Mirinda,7249.45
2018-03-23,Fanta,1002.95
2018-03-23,Sprite,4
2018-03-23,Mountain Dew,654.15
2018-03-24,Coca Cola,5713.4
2018-03-24,Thums Up,1602.702
2018-03-24,Mirinda,4571.55
2018-03-24,Fanta,3556
2018-03-24,Sprite,7
2018-03-24,Mountain Dew,672
2018-03-25,Coca Cola,1404
2018-03-25,Thums Up,757
2018-03-25,Mirinda,2154.3
2018-03-25,Fanta,956
2018-03-25,Sprite,10
2018-03-25,Mountain Dew,106.75
2018-03-26,Coca Cola,3978.75
2018-03-26,Thums Up,1060.651
2018-03-26,Mirinda,3994.8
2018-03-26,Fanta,1476.25
2018-03-26,Sprite,30
2018-03-26,Mountain Dew,278.9
2018-03-27,Coca Cola,5593.35
2018-03-27,Thums Up,1703.5
2018-03-27,Mirinda,4085.3
2018-03-27,Fanta,2808.75
2018-03-27,Sprite,10
2018-03-27,Mountain Dew,1301.1
2018-03-28,Coca Cola,8805.2
2018-03-28,Thums Up,2394.95
2018-03-28,Mirinda,4750.9
2018-03-28,Fanta,2691.75
2018-03-28,Sprite,42
2018-03-28,Mountain Dew,856.75
2018-03-29,Coca Cola,13653.6
2018-03-29,Thums Up,3240.1
2018-03-29,Mirinda,5794.44
2018-03-29,Fanta,3013.1
2018-03-29,Sprite,7
2018-03-29,Mountain Dew,1398.15
2018-03-30,Coca Cola,6981.8
2018-03-30,Thums Up,2278.5
2018-03-30,Mirinda,6542.5
2018-03-30,Fanta,2541.45
2018-03-30,Sprite,25
2018-03-30,Mountain Dew,1261.95
2018-03-31,Coca Cola,8920.847
2018-03-31,Thums Up,1733.15
2018-03-31,Mirinda,5059.8
2018-03-31,Fanta,3839.9
2018-03-31,Sprite,15
2018-03-31,Mountain Dew,1101
2018-04-01,Coca Cola,2202.1
2018-04-01,Thums Up,121.25
2018-04-01,Mirinda,2150.3
2018-04-01,Fanta,1397.5
2018-04-01,Sprite,27
2018-04-01,Mountain Dew,22
2018-04-02,Coca Cola,5980.05
2018-04-02,Thums Up,1307.4
2018-04-02,Mirinda,2151.7
2018-04-02,Fanta,4679.25
2018-04-02,Sprite,75.5
2018-04-02,Mountain Dew,476.7
2018-04-03,Coca Cola,4991.9
2018-04-03,Thums Up,2352.8
2018-04-03,Mirinda,3212.2
2018-04-03,Fanta,1995.05
2018-04-03,Sprite,12.5
2018-04-03,Mountain Dew,769.3
2018-04-04,Coca Cola,3960.85
2018-04-04,Thums Up,873.6
2018-04-04,Mirinda,2598.45
2018-04-04,Fanta,1375.65
2018-04-04,Sprite,15
2018-04-04,Mountain Dew,471.7
2018-04-05,Coca Cola,5516.5
2018-04-05,Thums Up,1782.3
2018-04-05,Mirinda,1792.1
2018-04-05,Fanta,3223.25
2018-04-05,Sprite,6
2018-04-05,Mountain Dew,672.6
2018-04-06,Coca Cola,9553.05
2018-04-06,Thums Up,601.4
2018-04-06,Mirinda,2334.75
2018-04-06,Fanta,1925.75
2018-04-06,Mountain Dew,952.5
2018-04-07,Coca Cola,4166.2
2018-04-07,Thums Up,646.9
2018-04-07,Mirinda,2320.5
2018-04-07,Fanta,1454.85
2018-04-07,Sprite,6
2018-04-07,Mountain Dew,898.25
2018-04-08,Coca Cola,1093.25
2018-04-08,Thums Up,91.25
2018-04-08,Mirinda,2749.65
2018-04-08,Fanta,697.5
2018-04-08,Sprite,240
2018-04-08,Mountain Dew,137.5
2018-04-09,Coca Cola,3763.55
2018-04-09,Thums Up,1573.15
2018-04-09,Mirinda,1845.6
2018-04-09,Fanta,1501.3
2018-04-09,Mountain Dew,262.3
2018-04-10,Coca Cola,4455.6
2018-04-10,Thums Up,1125.45
2018-04-10,Mirinda,1784.12
2018-04-10,Fanta,2712.6
2018-04-10,Sprite,16
2018-04-10,Mountain Dew,1271.5
2018-04-11,Coca Cola,5382.6
2018-04-11,Thums Up,977.85
2018-04-11,Mirinda,3271.575
2018-04-11,Fanta,3044.95
2018-04-11,Sprite,10
2018-04-11,Mountain Dew,1119.25
2018-04-12,Coca Cola,8550.35
2018-04-12,Thums Up,705.35
2018-04-12,Mirinda,7879.125
2018-04-12,Fanta,1919.25
2018-04-12,Sprite,3
2018-04-12,Mountain Dew,894.55
2018-04-13,Coca Cola,4465.45
2018-04-13,Thums Up,516.4
2018-04-13,Mirinda,3356.8
2018-04-13,Fanta,1081.5
2018-04-13,Sprite,1
2018-04-13,Mountain Dew,562.55
2018-04-14,Coca Cola,7091.45
2018-04-14,Thums Up,2075.95
2018-04-14,Mirinda,4637.775
2018-04-14,Fanta,3280
2018-04-14,Sprite,2.8
2018-04-14,Mountain Dew,2259.05
2018-04-15,Coca Cola,2179.05
2018-04-15,Thums Up,568
2018-04-15,Mirinda,1080.05
2018-04-15,Fanta,644.5
2018-04-15,Mountain Dew,337
2018-04-16,Coca Cola,6839.2
2018-04-16,Thums Up,2769.5
2018-04-16,Mirinda,4912.77
2018-04-16,Fanta,3290.25
2018-04-16,Sprite,30
2018-04-16,Mountain Dew,1059.4
2018-04-17,Coca Cola,6028
2018-04-17,Thums Up,1330.1
2018-04-17,Mirinda,5467.02
2018-04-17,Fanta,2348.5
2018-04-17,Mountain Dew,536.6
2018-04-18,Coca Cola,4096.15
2018-04-18,Thums Up,4238.3
2018-04-18,Mirinda,3302.635
2018-04-18,Fanta,2234.75
2018-04-18,Mountain Dew,665.05
2018-04-19,Coca Cola,4758.4
2018-04-19,Thums Up,1918.2
2018-04-19,Mirinda,4038.325
2018-04-19,Fanta,2290.65
2018-04-19,Mountain Dew,462.25
2018-04-20,Coca Cola,3904.05
2018-04-20,Thums Up,833.3
2018-04-20,Mirinda,2168.5
2018-04-20,Fanta,3367.25
2018-04-20,Sprite,26.5
2018-04-20,Mountain Dew,810.55
2018-04-21,Coca Cola,3071.55
2018-04-21,Thums Up,928.9
2018-04-21,Mirinda,3882.455
2018-04-21,Fanta,1609
2018-04-21,Mountain Dew,1951.75
2018-04-22,Coca Cola,2282.65
2018-04-22,Thums Up,825.35
2018-04-22,Mirinda,2082.16
2018-04-22,Fanta,325.9
2018-04-22,Mountain Dew,165
2018-04-23,Coca Cola,4987.95
2018-04-23,Thums Up,1284.5
2018-04-23,Mirinda,4280.06
2018-04-23,Fanta,2345.5
2018-04-23,Sprite,22
2018-04-23,Mountain Dew,1774.75
2018-04-24,Coca Cola,3589.95
2018-04-24,Thums Up,2981
2018-04-24,Mirinda,2938.045
2018-04-24,Fanta,2212.15
2018-04-24,Mountain Dew,2278.75
2018-04-25,Coca Cola,3761.1
2018-04-25,Thums Up,1555.05
2018-04-25,Mirinda,4101.14
2018-04-25,Fanta,1945
2018-04-25,Sprite,10
2018-04-25,Mountain Dew,1952.4
2018-04-26,Coca Cola,7099.95
2018-04-26,Thums Up,1528.15
2018-04-26,Mirinda,5589.135
2018-04-26,Fanta,2760.75
2018-04-26,Mountain Dew,1431.1
2018-04-27,Coca Cola,5643.15
2018-04-27,Thums Up,2385.3
2018-04-27,Mirinda,6237.33
2018-04-27,Fanta,3183.2
2018-04-27,Sprite,8.95
2018-04-27,Mountain Dew,2286.9
2018-04-28,Coca Cola,3305
2018-04-28,Thums Up,806.3
2018-04-28,Mirinda,5383.47
2018-04-28,Fanta,1650.5
2018-04-28,Mountain Dew,1115
2018-04-29,Coca Cola,1281.35
2018-04-29,Thums Up,531
2018-04-29,Mirinda,1386.42
2018-04-29,Fanta,446.5
2018-04-29,Mountain Dew,426.25
2018-04-30,Coca Cola,4751.25
2018-04-30,Thums Up,2164.45
2018-04-30,Mirinda,3869.105
2018-04-30,Fanta,2515
2018-04-30,Sprite,21
2018-04-30,Mountain Dew,1452.5
2018-05-01,Coca Cola,3567.3
2018-05-01,Thums Up,1717.45
2018-05-01,Mirinda,4452.54
2018-05-01,Fanta,976.95
2018-05-01,Sprite,1
2018-05-01,Mountain Dew,1511.1
2018-05-02,Coca Cola,3111.8
2018-05-02,Thums Up,1471.4
2018-05-02,Mirinda,2888.165
2018-05-02,Fanta,903
2018-05-02,Mountain Dew,3541.3
2018-05-03,Coca Cola,4041.2
2018-05-03,Thums Up,1036.45
2018-05-03,Mirinda,5827.145
2018-05-03,Fanta,1402.5
2018-05-03,Mountain Dew,997.15
2018-05-04,Coca Cola,5001
2018-05-04,Thums Up,894.1
2018-05-04,Mirinda,3328.495
2018-05-04,Fanta,1071.5
2018-05-04,Mountain Dew,1155.15
2018-05-05,Coca Cola,5743.1
2018-05-05,Thums Up,1344.5
2018-05-05,Mirinda,2738.54
2018-05-05,Fanta,555.25
2018-05-05,Sprite,36
2018-05-05,Mountain Dew,1378.5
2018-05-06,Coca Cola,742.75
2018-05-06,Thums Up,481.45
2018-05-06,Mirinda,574.535
2018-05-06,Fanta,163
2018-05-06,Mountain Dew,738
2018-05-07,Coca Cola,3289.4
2018-05-07,Thums Up,768.25
2018-05-07,Mirinda,5349.785
2018-05-07,Fanta,685.5
2018-05-07,Sprite,3
2018-05-07,Mountain Dew,610.3
2018-05-08,Coca Cola,3119.25
2018-05-08,Thums Up,348.001
2018-05-08,Mirinda,1530.11
2018-05-08,Fanta,1038
2018-05-08,Mountain Dew,518.5
2018-05-09,Coca Cola,6189.75
2018-05-09,Thums Up,1404.404
2018-05-09,Mirinda,5635.68
2018-05-09,Fanta,1604.555
2018-05-09,Sprite,5
2018-05-09,Mountain Dew,1171.55
2018-05-10,Coca Cola,13178.585
2018-05-10,Thums Up,1770.701
2018-05-10,Mirinda,8932.37
2018-05-10,Fanta,1814.001
2018-05-10,Sprite,23
2018-05-10,Mountain Dew,1372.75
2018-05-11,Coca Cola,5499.45
2018-05-11,Thums Up,2134
2018-05-11,Mirinda,2368.955
2018-05-11,Fanta,1003.5
2018-05-11,Sprite,19
2018-05-11,Mountain Dew,1457.1
2018-05-12,Coca Cola,3127.45
2018-05-12,Thums Up,2309.1
2018-05-12,Mirinda,2114.415
2018-05-12,Fanta,2415.6
2018-05-12,Sprite,17
2018-05-12,Mountain Dew,982.2
2018-05-13,Coca Cola,1200.2
2018-05-13,Thums Up,224.55
2018-05-13,Mirinda,399.015
2018-05-13,Fanta,269.5
2018-05-13,Mountain Dew,568.45
2018-05-14,Coca Cola,8131.75
2018-05-14,Thums Up,3480.45
2018-05-14,Mirinda,7364.88
2018-05-14,Fanta,3526.65
2018-05-14,Sprite,16
2018-05-14,Mountain Dew,1659.8
2018-05-15,Coca Cola,8197.7
2018-05-15,Thums Up,4569.95
2018-05-15,Mirinda,6208.451
2018-05-15,Fanta,1343.5
2018-05-15,Sprite,10
2018-05-15,Mountain Dew,2629.85
2018-05-16,Coca Cola,11971.55
2018-05-16,Thums Up,7626.05
2018-05-16,Mirinda,6951.458
2018-05-16,Fanta,1784.65
2018-05-16,Mountain Dew,3547.9
2018-05-17,Coca Cola,9714.7
2018-05-17,Thums Up,4372.05
2018-05-17,Mirinda,4336.065
2018-05-17,Fanta,1926.6
2018-05-17,Mountain Dew,2169.6
2018-05-18,Coca Cola,8208.2
2018-05-18,Thums Up,3362.9
2018-05-18,Mirinda,7266.51
2018-05-18,Fanta,1589.5
2018-05-18,Sprite,21
2018-05-18,Mountain Dew,2274.75
2018-05-19,Coca Cola,7165.95
2018-05-19,Thums Up,2382
2018-05-19,Mirinda,7483.83
2018-05-19,Fanta,1734.8
2018-05-19,Mountain Dew,1884
